song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff,ec_count,hc_count,exh_count
2393,entelecheia,ANOTHER,12.4,6.9,9.0,11.4,1639,977,231
2399,"fallen leaves -IIDX edition-",ANOTHER,12.4,7.3,9.4,11.9,1499,845,158
2402,"FANTASTIC THREE",ANOTHER,12.4,6.9,9.6,12.5,1539,755,91
2405,Flashes,ANOTHER,12.5,8.1,10.0,11.9,1271,640,166
2408,Gravigazer,ANOTHER,12.1,1.5,5.9,9.0,2606,1812,689
2453,"Night sky",ANOTHER,12.3,6.1,8.3,11.1,1905,1192,273
2468,"Rave*it!! Rave*it!!",ANOTHER,12.1,2.1,5.8,9.3,2566,1792,563
2474,Reflux,ANOTHER,12.5,7.2,10.2,13.3,1384,569,50
2483,"Say YEEEAHH",ANOTHER,12.4,7.4,9.9,12.4,1410,660,104
2492,"Shooting Fireball",ANOTHER,12.2,3.3,6.8,10.0,2501,1650,473
2498,"Sounds Of Summer",ANOTHER,12.2,5.0,6.8,10.1,2091,1583,445
2501,"SpaceLand☆TOYBOX",ANOTHER,12.2,4.0,7.2,10.2,2323,1522,445
2516,"The Least 100sec",ANOTHER,12.0,1.0,5.3,9.4,2645,1941,577
2519,TIEFSEE,ANOTHER,12.3,4.4,7.4,10.2,2319,1465,445
2522,"TOXIC VIBRATION",ANOTHER,12.4,5.9,9.1,11.9,1912,925,159
2528,"We're so Happy (P*Light Remix) IIDX ver.",ANOTHER,12.0,1.1,5.5,9.5,2725,1972,526
2531,"Ｘ↑Ｘ↓",ANOTHER,12.1,1.6,6.5,10.2,2500,1660,396
2534,ZZ,ANOTHER,12.0,1.2,5.7,8.8,2905,2032,792
2537,"それは花火のような恋",ANOTHER,12.3,4.2,7.4,10.4,2255,1430,387
2564,"リリーゼと炎龍レーヴァテイン",ANOTHER,12.3,4.2,7.8,10.8,2317,1343,320
2567,"夏色DIARY - L.E.D.-G STYLE MIX -",ANOTHER,11.8,0.9,4.4,8.9,2650,2070,650
2570,"鬼天",ANOTHER,12.2,3.6,7.8,10.7,2246,1265,298
2573,"共鳴遊戯の華",ANOTHER,12.6,10.1,11.8,13.6,582,205,34
2588,"少年は空を辿る",ANOTHER,12.5,7.4,10.2,13.0,1427,584,67
2591,"千年ノ理",ANOTHER,12.3,4.8,7.9,10.8,2183,1269,305
2600,"超青少年ノ為ノ超多幸ナ超古典的超舞曲",ANOTHER,12.3,4.2,6.7,9.5,2441,1753,627
2601,"超青少年ノ為ノ超多幸ナ超古典的超舞曲",LEGGENDARIA,12.7,10.6,12.2,13.8,431,136,17
2607,"表裏一体！？怪盗いいんちょの悩み",ANOTHER,12.4,6.8,9.7,12.5,1612,714,95
2617,"199024club -Re:BounceKiller-",ANOTHER,12.0,1.0,4.0,9.3,2646,2007,430
2626,AO-1,ANOTHER,12.3,4.5,7.1,10.0,2119,1485,439
2635,"Battle Train -IIDX Edition-",ANOTHER,12.0,1.3,5.9,10.1,2553,1781,424
2638,"Blue Spring Express",ANOTHER,12.3,3.9,7.5,10.9,2229,1388,288
2644,"chaos eater -IIDX edition-",ANOTHER,12.1,2.0,6.7,10.1,2420,1518,431
2647,"CODE:1 [revision1.0.1]",ANOTHER,12.6,9.9,11.4,13.1,641,258,58
2660,"Devil's Gear",ANOTHER,12.2,3.8,7.3,10.4,2308,1441,393
2663,"DIAMOND CROSSING",ANOTHER,12.5,7.4,10.6,12.9,1345,443,66
2675,Dynamite,ANOTHER,12.4,6.9,9.5,12.1,1692,822,133
2695,GOBBLE,HYPER,12.6,8.5,11.6,13.9,1018,222,10
2699,Godspeed,ANOTHER,12.3,5.7,9.0,11.7,2017,969,184
2702,"Grand Chariot",ANOTHER,12.5,7.5,10.3,12.8,1330,536,72
2705,"Highcharge Divolt",ANOTHER,12.0,1.2,5.6,9.4,2610,1838,578
2723,"M4K3 1T B0UNC3",ANOTHER,12.4,6.3,8.3,11.4,1650,1113,218
2732,"Nightmare before oversleep",ANOTHER,12.2,4.5,7.1,10.0,2159,1500,461
2735,"NINJA IS DEAD IIDX ver.",ANOTHER,11.8,1.2,4.8,9.0,2472,1873,613
2744,NZM,ANOTHER,12.5,7.6,9.9,12.3,1252,650,109
2756,POSSESSION,ANOTHER,12.4,7.6,9.8,11.9,1328,642,143
2762,refrain,ANOTHER,12.4,6.4,8.4,11.2,1767,1125,256
2792,StrayedCatz,ANOTHER,12.3,4.4,8.4,11.8,2060,1075,154
2810,"Triple Counter",ANOTHER,12.4,7.0,9.8,12.4,1489,708,97
2828,X,ANOTHER,12.5,8.3,10.7,12.8,1117,421,79
2849,"めいさいアイドル☆あいむちゃん♪",ANOTHER,12.4,7.1,8.9,11.4,1506,948,215
2852,"駅猫のワルツ",ANOTHER,12.5,8.5,10.5,13.5,974,462,38
2855,"紫陽花 -AZISAI-",ANOTHER,11.8,0.9,4.1,8.6,2808,2263,772
2858,"灼熱 Pt.2 Long Train Running",ANOTHER,12.5,7.2,10.2,12.9,1188,457,48
2864,"真 地獄超特急 -HELL or HELL-",ANOTHER,12.4,5.0,8.1,11.5,1909,1093,168
2900,"〆",ANOTHER,12.2,3.2,7.1,10.3,2429,1522,398
2918,"BabeL ～Grand Story～",ANOTHER,12.1,1.4,6.3,9.8,2573,1692,498
2942,Caterpillar,ANOTHER,12.3,5.2,7.9,11.4,1850,1138,190
2951,"DORNWALD ～Junge～",ANOTHER,12.3,5.7,8.5,11.4,1825,1047,203
2954,ECHIDNA,ANOTHER,12.5,8.4,10.4,12.4,1050,512,101
2963,"FUZIN RIZIN",ANOTHER,12.1,1.4,6.1,10.1,2384,1639,409
2966,"Go Ahead!!",ANOTHER,12.4,7.0,11.9,13.7,1279,182,21
2969,GuNGNiR,ANOTHER,12.5,7.8,10.6,12.9,1221,448,67
2972,HADES,ANOTHER,12.0,1.0,4.3,9.2,2820,2229,636
2990,"Mare Nectaris",ANOTHER,12.7,10.6,13.0,14.1,374,74,6
3005,"OTENAMI Hurricane",ANOTHER,12.4,6.7,9.7,12.5,1504,702,94
3014,Quakes,ANOTHER,12.3,5.8,8.9,12.1,1670,906,124
3017,RAIN,ANOTHER,12.3,4.8,7.7,11.0,1990,1256,256
3020,"Rave Cannon",ANOTHER,12.0,1.2,4.8,9.0,2560,1975,632
3053,"SEQUENCE CAT",ANOTHER,12.6,9.6,11.2,13.0,778,321,62
3065,"Sky High",ANOTHER,12.4,7.2,9.3,11.6,1450,860,187
3068,"Snakey Kung-fu",ANOTHER,12.3,5.4,7.9,10.8,1888,1195,301
3077,"Summerlights(IIDX Edition)",ANOTHER,12.1,3.5,8.0,11.3,2077,1143,205
3080,"Super Rush",ANOTHER,12.2,2.8,6.1,9.7,2486,1759,546
3092,TOGAKUSHI,ANOTHER,12.0,1.3,5.5,9.7,2628,1849,501
3110,"イザナミノナゲキ",ANOTHER,12.4,7.7,10.2,12.7,1251,542,80
3122,"焔極OVERKILL",ANOTHER,12.5,7.7,9.7,12.7,1270,697,79
3125,"火影",ANOTHER,12.0,1.1,5.3,10.6,2595,1829,286
3131,"九尾狐夜行",ANOTHER,11.8,1.0,3.6,7.9,2778,2322,947
3143,"刃図羅",ANOTHER,12.2,3.8,6.4,9.6,2173,1598,531
3146,"津軽雪",ANOTHER,12.4,7.5,9.7,12.0,1373,715,142
3157,"廿",LEGGENDARIA,12.4,6.3,8.1,11.1,1313,950,204
3158,"凛として咲く花の如く",LEGGENDARIA,12.0,1.6,6.1,9.4,2387,1683,587
3159,"STARLIGHT DANCEHALL",LEGGENDARIA,12.4,7.5,9.3,11.6,1181,780,170
3162,"THE DEEP STRIKER",LEGGENDARIA,12.4,7.6,10.3,12.5,1073,480,87
3165,Apocalypse,ANOTHER,12.4,6.1,8.4,11.3,1657,1039,214
3174,"童話回廊",ANOTHER,12.0,1.2,5.2,8.4,2416,1838,745
3180,"State Of The Art",ANOTHER,12.3,4.9,7.3,10.2,1965,1366,417
3195,"AA -rebuild-",ANOTHER,12.3,5.8,8.2,11.0,1794,1151,277
3213,Arca,ANOTHER,12.1,3.6,6.3,9.8,2094,1559,459
3240,DEADHEAT,ANOTHER,12.3,4.6,8.3,11.7,1892,1038,156
3303,"The Chase",ANOTHER,12.2,2.1,6.0,11.0,2076,1264,181
3312,Xperanza,ANOTHER,12.2,3.9,7.3,11.0,2206,1366,243
3333,"神謳 -RESONANCE-",ANOTHER,12.3,4.7,8.1,11.2,2073,1167,244
3342,"Amazing Mirage",LEGGENDARIA,12.3,5.2,7.5,10.3,1790,1236,371
3343,"龍と少女とデコヒーレンス",LEGGENDARIA,12.3,4.6,7.6,10.4,1854,1213,355
3349,"DEATH†ZIGOQ ～怒りの高速爆走野郎～",ANOTHER,12.4,6.7,8.9,11.6,1468,892,181
3361,"Usual Days-remix",ANOTHER,12.4,6.2,9.6,12.9,1533,703,59
3362,"RED ZONE",LEGGENDARIA,11.8,1.1,5.2,9.1,2339,1775,597
3365,"Boomy and The Boost",ANOTHER,12.4,7.0,8.5,11.1,1455,1063,263
3368,encounter,ANOTHER,12.0,1.7,5.8,9.4,2299,1703,548
3380,"東京神話",ANOTHER,12.4,7.2,9.6,12.2,1330,700,118
3381,CONTRACT,LEGGENDARIA,12.6,8.8,10.6,12.6,808,419,78
3384,"NITROUS CANNON",ANOTHER,12.3,6.2,8.8,11.5,1586,920,181
3390,"DUE TOMORROW",ANOTHER,12.5,8.3,10.8,13.4,931,346,42
3393,Persephone,ANOTHER,12.0,1.4,5.1,8.7,2377,1852,698
3399,"Raspberry Railgun",ANOTHER,12.0,2.4,6.1,9.3,2245,1641,594
3402,"Papilio ulysses",ANOTHER,12.1,1.2,5.7,9.6,2375,1670,472
3408,"HYPE THE CORE",ANOTHER,12.6,8.9,11.1,13.8,845,302,17
3414,Rampage,ANOTHER,12.3,5.8,7.6,10.5,1724,1238,337
3423,"シムルグの目醒め",ANOTHER,12.4,6.8,9.3,12.0,1427,789,125
3424,"Blue Rain",LEGGENDARIA,12.5,7.9,9.9,11.8,1109,603,156
3425,"Kung-fu Empire",LEGGENDARIA,12.2,3.9,7.4,10.4,1917,1234,330
3426,"spiral galaxy",LEGGENDARIA,12.5,8.3,9.7,11.9,963,637,146
3433,"Y&Co. is dead or alive",ANOTHER,12.4,7.7,11.1,13.5,889,240,32
3439,"Invitation from Mr.C",ANOTHER,12.1,1.4,5.9,9.6,2260,1587,500
3442,DropZ-Line-,ANOTHER,12.4,7.0,10.0,12.4,1076,476,90
3463,"Eine Haube ～聖地の果てにあるもの～",ANOTHER,12.0,1.2,6.4,10.2,2347,1511,393
3472,Initiation,ANOTHER,12.6,9.1,10.4,12.4,801,481,95
3475,"Life Is A Game ft.DD""ナカタ""Metal",ANOTHER,12.4,6.7,8.2,11.2,1344,1025,204
3484,255,ANOTHER,12.2,3.9,7.5,10.9,1800,1134,241
3487,"Illusionary Waterlily",ANOTHER,12.3,6.3,8.2,10.9,1521,1064,269
3490,Slipstream,ANOTHER,12.3,4.4,7.3,10.5,1885,1269,326
3493,Antigravity,ANOTHER,12.0,1.0,5.5,9.8,2336,1673,428
3496,EMERALDAS,ANOTHER,12.6,9.9,11.8,13.6,619,198,30
3500,"Little Little Princess",LEGGENDARIA,12.5,7.6,9.5,11.9,1127,701,129
3501,"QUANTUM TELEPORTATION",LEGGENDARIA,12.5,7.9,10.1,12.1,1078,524,108
3511,"waxing and wanding",LEGGENDARIA,12.5,8.6,10.1,12.2,886,525,108
3512,Ubertreffen,LEGGENDARIA,12.4,5.8,8.8,11.4,1517,862,193
3515,ANCHOR,ANOTHER,12.3,5.9,8.2,11.1,1624,1036,245
3518,"op.31 叙情",ANOTHER,11.6,1.5,7.0,10.1,1778,1020,317
3533,dAuntl3ss,ANOTHER,12.4,6.4,8.4,11.0,1519,1021,260
3539,"Dr. Chemical & Killing Machine",ANOTHER,12.5,7.8,9.1,11.1,1215,876,251
3563,L.F.O,ANOTHER,12.2,4.4,7.4,10.6,1901,1256,306
3569,"Level One",ANOTHER,12.4,6.3,9.3,12.4,1519,733,88
3599,"THE DAY OF JUBILATIONS",ANOTHER,12.3,5.8,8.7,11.5,1673,942,184
3602,"The Rebellion of Sequencer",ANOTHER,12.5,7.7,9.8,12.2,1121,633,107
3623,Xlo,ANOTHER,12.4,6.4,8.8,11.9,1626,956,145
3653,"GIGA THRASH",ANOTHER,12.2,4.3,6.9,10.1,1930,1368,409
3657,"KAISER PHOENIX",LEGGENDARIA,12.7,11.0,12.9,14.0,303,80,8
3658,"RUGGED ASH",LEGGENDARIA,12.2,4.3,8.4,11.0,1691,942,245
3664,"Catch Our Fire!",ANOTHER,12.3,5.1,8.6,11.4,1633,922,187
3667,"KILL EACH OTHER",ANOTHER,12.3,5.0,7.9,11.0,1810,1118,247
3670,"金野火織の金色提言",ANOTHER,12.3,5.1,8.1,11.1,1673,988,217
3673,"Drastic Dramatic",ANOTHER,12.1,1.8,6.0,9.4,2281,1643,566
3676,"LOST TECHNOLOGIE",ANOTHER,12.4,6.8,9.5,12.1,1359,742,123
3691,"Red. by Jack Trance",ANOTHER,12.3,3.1,8.0,11.7,1906,877,125
3700,"Painful Fate",ANOTHER,12.4,7.4,9.7,12.2,1219,680,111
3712,"New Castle Legions",ANOTHER,12.1,3.9,7.3,10.4,1481,967,276
3713,"GRID KNIGHT",LEGGENDARIA,12.2,5.5,9.1,11.9,1366,695,120
3716,"Carry Me Away",ANOTHER,12.0,1.1,5.2,9.0,2194,1647,569
3719,X-DEN,ANOTHER,12.6,9.4,13.5,14.2,720,47,5
3725,"抱きしめてモナムール",ANOTHER,12.3,4.5,8.0,11.0,1816,1060,251
3731,EVANESCENT,ANOTHER,12.2,5.4,7.4,10.2,1567,1138,349
