song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff
4457,"thunder HOUSE NATION Remix",LEGGENDARIA,12.4,7.5,9.1,11.4
4458,"Be quiet",LEGGENDARIA,12.5,9.3,10.4,12.9
4460,Ganymede,LEGGENDARIA,12.2,2.8,7.7,11.0
4463,"BLACK or WHITE?",ANOTHER,12.4,7.0,8.9,11.3
4466,"ディスコルディア",ANOTHER,12.6,8.8,10.9,13.2
4481,Parvati,ANOTHER,11.8,1.0,3.8,7.9
4484,"二人ノ廃城幽踊宴",ANOTHER,12.5,8.3,11.1,13.7
4487,"伐折羅-vajra-",ANOTHER,12.4,7.7,9.3,11.7
4503,"STEEL NEEDLE",LEGGENDARIA,12.7,10.7,13.5,14.2
4506,"Ignis†Irae",ANOTHER,12.4,7.3,9.9,12.5
4509,"Sinus Iridum",ANOTHER,12.6,10.0,12.7,14.0
4520,"ΕΛΠΙΣ",LEGGENDARIA,12.4,7.4,9.7,11.9
4523,"COSMIC RAY",ANOTHER,12.4,6.2,9.6,12.4
4532,"Level 3",ANOTHER,12.4,7.0,8.5,11.2
4535,"LOCUS OF THE TRAVEL",ANOTHER,12.4,6.5,9.3,11.9
4544,"DUAL STRIKER",ANOTHER,12.4,6.8,9.1,11.6
4556,"スーパー戦湯ババンバーン",ANOTHER,12.1,4.0,7.0,10.0
4561,"Anisakis -somatic mutation type""Forza""-",LEGGENDARIA,12.6,9.1,11.7,13.8
4562,Ypsilon,LEGGENDARIA,12.2,5.3,7.6,10.1
4563,SAMURAI-Scramble,LEGGENDARIA,12.5,6.3,9.9,13.2
4564,"the trigger of innocence",LEGGENDARIA,12.2,3.6,7.3,10.3
4570,"Angel's Ladder",ANOTHER,12.3,4.6,8.1,11.3
4582,"Don't believe the hype",ANOTHER,12.3,5.4,8.0,11.2
4591,Fegrix,ANOTHER,12.3,4.8,7.3,10.4
4597,GiGaGaHell,ANOTHER,12.2,3.4,7.7,11.5
4609,"LIVE DRIVING!! feat. 花たん",ANOTHER,12.3,5.4,7.8,10.9
4633,"Purple Perplex",ANOTHER,12.3,4.5,8.3,11.8
4636,"Skreaming for Salvation",ANOTHER,12.2,4.4,7.9,10.8
4645,"Triple Cross",ANOTHER,12.3,5.8,8.1,10.8
4692,BroGamer,LEGGENDARIA,12.7,11.1,12.1,13.9
4693,"Candy Galy",LEGGENDARIA,12.4,6.9,9.5,11.9
4707,"One for All",ANOTHER,12.1,3.8,7.2,10.5
4710,TOMAHAWK,ANOTHER,12.3,4.9,8.1,11.8
4722,Aftermath,ANOTHER,12.3,6.0,8.1,10.7
4734,ALTERNATOR,ANOTHER,12.3,6.0,7.9,10.7
4746,"禊",ANOTHER,12.1,1.5,6.2,9.4
4752,"Binary Black Hole",ANOTHER,12.6,9.3,10.7,12.8
4755,"Silver Bullet",ANOTHER,12.4,6.7,9.6,12.2
4768,"NEW GENERATION -もう、お前しか見えない-",LEGGENDARIA,12.3,6.0,9.5,12.2
4780,"PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.",ANOTHER,12.4,7.1,9.1,11.6
4783,"烽火連天の刃",ANOTHER,12.3,6.5,8.7,11.2
4789,"Push on Beats!～音ゲの国のeX-ストリーマー～",ANOTHER,12.3,5.9,8.4,11.4
4792,"2 Beasts Unchained",ANOTHER,12.4,7.5,9.8,12.0
4798,"逆月",ANOTHER,12.4,5.1,7.8,11.0
4804,"世界の果てに約束の凱歌を -ReUnion-",ANOTHER,12.3,5.7,8.2,11.2
4806,REVOLVER,LEGGENDARIA,12.5,8.1,10.5,12.9
4807,"Scripted Connection⇒ A mix",LEGGENDARIA,12.4,7.3,9.5,11.8
4813,"Flying Castle",ANOTHER,12.4,6.4,8.4,11.2
