song_id,name,difficulty,level,unofficial_diff
06034-7-1,"VJ ARMY (ROOT)",ANOTHER,10,10.2
06035-5-0,"Wow Wow 70's",HYPER,7,8.0
06036-5-0,Y31,HYPER,8,9.3
06036-7-0,Y31,ANOTHER,11,11.0
06038-5-0,"こっちを向いてよ",HYPER,9,9.6
06038-7-0,"こっちを向いてよ",ANOTHER,11,11.8
07002-5-0,"9 o'clocks",HYPER,7,7.5
07003-5-0,A,HYPER,11,11.6
07003-7-0,A,ANOTHER,12,12.4
07004-5-0,"AVE DE RAPINA",HYPER,10,10.0
07005-5-0,"Bad Routine",HYPER,7,8.0
07005-7-0,"Bad Routine",ANOTHER,9,9.6
07006-5-0,"BRING HER DOWN",HYPER,10,10.5
07007-7-0,"Burning Heat! (FULL OPTION MIX)",ANOTHER,9,9.6
07009-7-0,"Cheer Train",ANOTHER,12,12.4
07010-5-0,"CLOUDY MUSIC",HYPER,8,8.5
07014-5-0,foreplay,HYPER,9,9.6
07014-7-0,foreplay,ANOTHER,11,11.6
07015-5-0,"General Relativity",HYPER,7,8.5
07015-7-1,"General Relativity (CS DD)",ANOTHER,8,9.6
07016-5-0,"Glorious Days",HYPER,7,6.5
07017-5-0,Gravity,HYPER,10,10.2
07018-5-0,"Happy Wedding",HYPER,8,8.5
07018-7-0,"Happy Wedding",ANOTHER,10,10.2
07019-5-0,HEARTBEAT,HYPER,7,8.5
07021-5-0,"Last Message",HYPER,10,10.2
07021-7-0,"Last Message",ANOTHER,11,11.4
07022-5-0,"Let the Snow Paint Me",HYPER,7,6.5
07023-5-0,"LOVE GENERATION",HYPER,7,7.5
07024-5-0,"Love Me Do",HYPER,7,7.5
07025-5-0,"Marmalade Reverie",HYPER,7,8.0
07025-7-0,"Marmalade Reverie",ANOTHER,9,9.3
07026-5-0,"MAX 300",HYPER,10,10.5
07026-7-0,"MAX 300",ANOTHER,12,12.3
07027-5-0,"Never Look Back",HYPER,7,8.5
07029-5-0,"REMEMBER ME",HYPER,7,8.0
07032-5-1,"Somebody Like You (CH)",HYPER,7,6.5
07032-7-1,"Somebody Like You (CH)",ANOTHER,9,9.3
07033-5-0,Spica,HYPER,9,9.6
07033-7-0,Spica,ANOTHER,12,11.8
07034-5-0,Spooky,HYPER,9,9.6
07035-5-0,stoic,HYPER,10,10.5
07035-7-0,stoic,ANOTHER,12,12.0
07037-5-0,"The Sound Of Goodbye",HYPER,7,8.0
07038-5-0,"Tomorrow Perfume",HYPER,10,10.7
07038-7-0,"Tomorrow Perfume",ANOTHER,11,11.6
07039-5-0,traces,HYPER,9,9.3
07039-7-0,traces,ANOTHER,10,10.2
07040-5-0,ZERO-ONE,HYPER,8,9.0
07040-7-0,ZERO-ONE,ANOTHER,10,10.7
07040-9-0,ZERO-ONE,LEGGENDARIA,11,11.0
07041-5-0,"革命",HYPER,12,12.1
07041-7-0,"革命",ANOTHER,12,12.3
08001-5-0,abstract,HYPER,9,9.6
08002-7-0,airflow,ANOTHER,7,7.5
08003-7-0,"ALIEN WORLD",ANOTHER,7,7.0
08004-5-0,"ALL RIGHT",HYPER,8,8.5
08004-7-0,"ALL RIGHT",ANOTHER,10,10.7
08005-5-0,Attitude,HYPER,7,7.5
08005-7-0,Attitude,ANOTHER,9,10.0
08007-5-0,Blame,HYPER,7,8.0
08007-7-0,Blame,ANOTHER,10,10.5
08008-5-0,"Blown My Heart Away",HYPER,7,8.0
08009-5-0,"CELEBRATE NITE",HYPER,7,7.5
08009-7-0,"CELEBRATE NITE",ANOTHER,8,9.0
08010-5-0,"Colors -Y&Co.Eurobeat Remix-",HYPER,10,9.6
08010-7-0,"Colors -Y&Co.Eurobeat Remix-",ANOTHER,10,10.0
08011-7-0,DANCER,ANOTHER,8,7.5
08012-7-0,"Drivin'",ANOTHER,9,9.3
08013-5-0,"dual control",HYPER,8,8.5
08013-7-0,"dual control",ANOTHER,9,9.6
08014-5-0,"FLUTE MAN",HYPER,7,6.5
08014-7-0,"FLUTE MAN",ANOTHER,9,9.3
08015-5-0,"Foundation of our love",HYPER,9,9.3
08015-7-0,"Foundation of our love",ANOTHER,10,10.2
08017-5-0,Giudecca,HYPER,10,10.7
08017-7-0,Giudecca,ANOTHER,11,11.8
08018-5-0,"Halfway Of Promise",HYPER,8,8.5
08018-7-0,"Halfway Of Promise",ANOTHER,10,10.5
08019-5-0,"Hormiga obrera",HYPER,8,8.5
08019-7-0,"Hormiga obrera",ANOTHER,9,9.3
08021-5-0,LAB,HYPER,10,10.5
08021-7-0,LAB,ANOTHER,11,11.0
08022-7-0,"LOVE IS ORANGE",ANOTHER,9,9.6
08022-9-0,"LOVE IS ORANGE",LEGGENDARIA,11,11.4
08023-5-0,"Luv 2 Feel Your Body",HYPER,9,9.3
08023-7-0,"Luv 2 Feel Your Body",ANOTHER,10,10.5
08024-5-0,memories,HYPER,10,10.2
08024-7-0,memories,ANOTHER,11,11.6
08025-7-0,"Monkey Dance",ANOTHER,9,10.0
08026-5-0,"murmur twins",HYPER,10,10.2
08026-7-0,"murmur twins",ANOTHER,12,12.0
08027-5-0,"MUSIC TO YOUR HEAD",HYPER,8,8.5
08027-7-0,"MUSIC TO YOUR HEAD",ANOTHER,9,8.5
08028-5-0,"PLEASE DON'T GO",HYPER,9,9.3
08028-7-0,"PLEASE DON'T GO",ANOTHER,10,11.0
08029-5-0,"rainbow flyer",HYPER,10,10.2
08029-7-0,"rainbow flyer",ANOTHER,11,11.8
